date,China,USA,Vietnam,Australia,Japan,HongKong,Singapore,Norway,Panama,Taiwan
2000-01-01,2396005,3028531,215989,235016,1474813,888201,357725,57935,79382,551766
2000-01-01,2530656,2961009,207198,207121,1418660,880431,296831,12268,11508,550543
2000-01-01,3540626,3425960,239221,294161,1725329,1518784,405250,158011,200529,700715
2000-01-01,2289755,2612314,160002,176198,1395929,882497,315575,59398,69420,540088
2000-01-01,2379307,2383518,168341,205346,1225945,892958,283230,9726,18500,466339
2000-01-01,2659293,2749138,252511,218092,1371508,1072609,381502,59456,127125,545375
2000-01-01,2560138,2807775,254068,201330,1406228,1138132,371453,109908,156052,529582
2000-01-01,2475021,2633440,236404,192053,1350886,1119015,364767,189152,146554,498783
2000-01-01,2609511,2803208,228235,397367,1319147,1154056,371706,56431,114168,514101
2000-01-01,2964910,2497304,194171,237320,1382144,1103555,428039,9209,13178,603816
2000-01-01,3078357,2585266,164080,441913,1298388,1192551,390425,52838,13244,597436
2000-01-01,3274211,3034999,192546,403206,1437461,1274405,359849,9992,256501,612773
2000-01-01,3448460,3213553,222751,267336,1698328,1511066,407789,11354,85066,702004
2000-01-01,3830128,3472927,248905,237803,1664845,1794107,556402,14020,51961,733538
2000-01-01,4554438,4037438,322248,301946,1889740,1752427,573686,14500,68453,883146
2000-01-01,3320939,2644698,163656,210405,1552892,1243991,425751,11128,57115,632902
2000-01-01,3686546,3097012,219837,241921,1732592,1623981,455330,11882,111854,688149
2000-01-01,4030541,3534533,290301,288808,1911030,2000495,444757,11532,108159,828087
2000-01-01,4097865,3544623,307250,297375,1818284,1922310,451875,8316,121798,802106
2000-01-01,4296987,3559013,289277,283482,1863901,1680079,459390,13359,19745,838857
2000-01-01,4113747,4106098,236283,285318,1696811,1396816,438263,127734,178483,833565
2000-01-01,4479870,3623192,242244,290209,1836487,1290155,531906,13654,30796,847048
2000-01-01,4101366,3470222,221873,287094,1604839,1375518,445172,11846,83743,823925
2000-01-01,4167502,3616201,315686,322401,1728689,1355963,442574,36887,18755,895496
2000-01-01,4470634,3809460,308762,267533,2033609,1255320,501155,43786,170100,883713
2000-01-01,4442741,3806704,338157,301985,2032463,1230056,483649,17967,294796,887221
2000-01-01,5493539,3602662,263409,416096,2052963,1508432,627184,60496,115786,948671
2000-01-01,4478630,3478720,259195,285543,1873433,1119491,450593,15999,85524,867849
